,1,10,11,12,13,14,15,16,17,18,19,2,20,21,21A,21B,22,23,23A,23B,24,25,26,27,28,3,4,5,5A,5B,5C,5D,5E,6,7,7A,7B,7C,7D,7E,8,9
5.0,370,370,370,370,370,370,370,370,370,370,370,370,370,260,260,256,370,260,260,261,370,370,370,370,370,370,370,270,270,270,270,270,315,370,270,270,270,270,270,307,370,370
12.0,370,370,370,370,370,370,370,370,370,370,370,370,370,260,260,256,370,260,260,261,370,370,370,370,370,370,370,270,270,270,270,270,315,370,270,270,270,270,270,307,370,370
18.0,370,370,370,370,370,370,370,370,370,370,370,370,370,260,260,256,370,260,260,261,370,370,370,370,370,370,370,270,270,270,270,270,315,370,270,270,270,270,270,307,370,370
