,1,2,3,4,5,6,7,8,9
4.0,9652,9625,9557,9866,9586,9781,9367,9625,9879
6.0,9729,9708,9785,9952,9767,9962,9553,9708,9965
9.0,9883,9839,9917,10086,9892,10095,9676,9839,10171
