,A,B,C,D,E,F,G,H,I,J,K
3.0,5479095,4612525,5114295,5114295,4612525,5723485,4138255,4002140,3191500,3567145,3777795
6.0,5578605,5083850,5207385,5207385,5083850,5826790,4256510,4075920,3229250,3676280,3829385
9.0,5973390,5441275,5574090,5574090,5441275,6240495,4301400,4153780,3325500,3745265,4037085
