,A01,A02,A03,A05,A06,A07,A08,A102,A106,A108,A206,A308,B,B01,B02,B03,B05,B06,B07,B08,B09,B10,B105,B106,B108,B109,B110,B202,B203,B205,B206,B209,B305,B306,B309,B502,B606,B610,C01,C02,C03,C05,C06,C07,C08,C101,C102,C103,C105,C202,C203,C207,C303,C305,C503,C601,C602,C606,C607,D,PH1,PH2,PH3,PH5
2.0,9629870,9664551,9218883,5661392,7600642,7600642,7566300,9664551,7600642,7566300,7600642,7566300,,7478478,7410722,7531524,7531524,7531524,7531524,7406542,5885026,5915709,7531524,7531524,7531524,5813662,5915388,7531524,7531524,7531524,7531524,5813662,7531524,7531524,5813662,7531524,7531524,5915388,5819450,6876518,7531524,9525928,7274150,5796134,5597277,5965700,7531524,7531524,9417187,7531524,7531524,5813662,7531524,9417187,7531524,5965700,7531524,7274150,5813662,,,,,
3.0,9710798,9707594,9260674,5682672,7628494,7628494,7594020,9707594,7628494,7594020,7628494,7329840,,7542279,7422844,7559112,7559112,7559112,7559112,7436220,5754192,5937858,7559112,7559112,7559112,5835259,5937537,7559112,7559112,7559112,7559112,5835259,7500592,7559112,5835259,7559112,7559112,5937537,5809050,6965970,7559112,9492927,7300748,5817731,5860818,5988125,7559112,7559112,9459385,7559112,7559112,5835259,7559112,9459385,7559112,5988125,7559112,7300748,5835259,,,,,
5.0,9797346,9794239,9310400,5724624,7552534,7552534,7518000,9794239,7552534,7518000,7552534,7518000,,7465968,7625992,7483454,7483454,7483454,7483454,7452522,5916952,6023244,7483454,7483454,7483454,5837450,5850867,7483454,7483454,7483454,7483454,5837450,7483454,7483454,5837450,7483454,7483454,5850867,5896800,7029506,7483454,9701753,7223775,5902867,5835138,5902000,7483454,7483454,9544863,7483454,7483454,5837450,7483454,9544863,7483454,5902000,7483454,7223775,5837450,,,,,
