,A,B,C,D,E,F,G,H,I
3.0,16351260,16108890,15923200,8776992,10867460,10160750,10963050,12071955,14418330
6.0,16911500,16726670,17102400,8944824,11141220,10314010,10115175,11824435,15820560
8.0,16908520,17040300,15532800,9080244,14529580,10495400,10181325,12315905,16080495
