,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
4.0/F低層whole floor,4.0,低層,whole floor,4928838,9838,501,106,1,KMK
6.0/F中層whole floor,6.0,中層,whole floor,4992465,9965,501,109,1,KMK
7.0/F高層whole floor,7.0,高層,whole floor,5024529,10029,501,150,1,KMK
