,A,AB,CD,D,E,EF,G,H
4.0,3033878,6310920,6310920,3033878,3063196,6310920,2694960,3033878
7.0,3091872,4736340,4736340,3091872,3120976,4736340,2746640,3091872
10.0,3150508,5049660,4828320,3150508,3180254,4828320,2797750,3150508
