,1,2,3,4,5,6,7,8,D1,D4,D5,D6,D8
4.0,538,538,655,655,586,586,655,655,538,655,586,586,655
9.0,538,538,655,655,586,586,655,655,538,655,586,586,655
14.0,538,538,655,655,586,586,655,655,538,655,586,586,655
