,A,B,C,D,E,G,H,K,M
2.0,4462380,4981986,5632860,4158285,5642647,3621986,3568815,3493679,4940254
3.0,4476420,4995297,5647386,3573165,5641078,3572365,3584080,3748228,4953784
5.0,4441710,5043951,5683970,4216590,5691809,3596655,3674960,3855566,4970471
