,1,2,3,4,A,B,C,D
5.0,4394115,4394115,4259040,3919450,4394115,4394610,4287360,3919450
11.0,4523805,4523805,4384800,4035550,4523805,4523805,4414080,4035550
18.0,4675275,4675275,4532160,4170570,4675275,4675275,4561920,4170570
