,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
6.0/F低層A,6.0,低層,A,8800792,14014,628,336,4,KYT
14.0/F中層A,14.0,中層,A,9148076,14567,628,352,4,KYT
23.0/F高層A,23.0,高層,A,9648592,15364,628,375,4,KYT
6.0/F低層B,6.0,低層,B,8601240,13740,626,308,4,KYT
14.0/F中層B,14.0,中層,B,8996246,14371,626,320,4,KYT
23.0/F高層B,23.0,高層,B,9538988,15238,626,334,4,KYT
6.0/F低層C,6.0,低層,C,8412188,13438,626,367,4,KYT
14.0/F中層C,14.0,中層,C,8716424,13924,626,387,4,KYT
23.0/F高層C,23.0,高層,C,9082634,14509,626,325,3,KYT
6.0/F低層D,6.0,低層,D,8847892,14089,628,391,4,KYT
14.0/F中層D,14.0,中層,D,9081508,14461,628,327,4,KYT
23.0/F高層D,23.0,高層,D,9575744,15248,628,335,4,KYT
6.0/F低層E,6.0,低層,E,10270881,14089,729,359,4,KYT
14.0/F中層E,14.0,中層,E,10764414,14766,729,351,4,KYT
23.0/F高層E,23.0,高層,E,11290023,15487,729,343,4,KYT
6.0/F低層F,6.0,低層,F,10613275,14639,725,320,3,KYT
14.0/F中層F,14.0,中層,F,11120050,15338,725,367,3,KYT
23.0/F高層F,23.0,高層,F,11407150,15734,725,391,4,KYT
6.0/F低層G,6.0,低層,G,10438550,14398,725,323,3,KYT
14.0/F中層G,14.0,中層,G,10846725,14961,725,344,3,KYT
23.0/F高層G,23.0,高層,G,11224450,15482,725,350,3,KYT
6.0/F低層H,6.0,低層,H,10816173,14837,729,329,3,KYT
14.0/F中層H,14.0,中層,H,11465712,15728,729,384,3,KYT
23.0/F高層H,23.0,高層,H,12035790,16510,729,338,3,KYT
