,A,AB,B,C,D,E,F,G,H
7.0,8958,,9315,9440,9516,11201,10602,10646,10102
18.0,9629,,10075,10401,10029,10974,10538,9683,10657
29.0,10200,,9962,9886,9918,10748,11287,10310,10422
