,1,10,11,12,15,17,2,3,4,5,6,7,8,9,whole floor
2.0,6265,,,,,,,,,,,,,,
3.0,6296,,,,,,,,,,,,7790,,
4.0,6328,,7330,,,,,,,,,,,,
