,A,B,C,D,E,F,G,H,J
6.0,12607,12806,12698,12497,13271,13573,12247,12334,12670
16.0,12958,13364,12532,13337,14134,13435,13022,12818,13019
23.0,13020,13639,13158,13298,14250,13853,13406,12948,13553
