,subjFloor,floorLv,unitNo,price,npsf,nfa
6.0/F低層A,6.0,低層,A,16529576,17363,952
11.0/F中層A,11.0,中層,A,16955120,17810,952
18.0/F高層A,18.0,高層,A,17551072,18436,952
6.0/F低層B,6.0,低層,B,,,
11.0/F中層B,11.0,中層,B,,,
18.0/F高層B,18.0,高層,B,,,
6.0/F低層C,6.0,低層,C,8394243,14963,561
11.0/F中層C,11.0,中層,C,8610228,15348,561
18.0/F高層C,18.0,高層,C,8912607,15887,561
6.0/F低層D,6.0,低層,D,7217700,14700,491
11.0/F中層D,11.0,中層,D,7622284,15524,491
18.0/F高層D,18.0,高層,D,7894298,16078,491
6.0/F低層E,6.0,低層,E,7639695,13815,553
11.0/F中層E,11.0,中層,E,8834875,15365,575
18.0/F高層E,18.0,高層,E,9145375,15905,575
