,11,12,13,14,15,18,21,24,27,29,35,36,4,41,5,6,8
8.0,6029,6069,6026,5909,5739,6027,5962,6026,6026,6026,5981,6026,6028,6202,5930,6026,6026
14.0,6374,6341,6299,6112,6054,6297,6298,6299,6299,6299,6310,6280,6268,6456,6263,6299,6299
19.0,6588,6549,6505,6314,6259,6503,6509,6505,6505,6505,6516,6505,6471,6668,6470,6505,6505
