,A,B,C,D,E,F,G,H,I,J
11.0,18926,17280,19418,16847,19236,18100,17312,19661,17340,19245
29.0,20562,19977,21723,18755,20652,20056,18529,21686,18580,20827
46.0,22366,20477,22665,20816,21466,21591,21418,22476,20537,21838
