,A,B,C,D,E,F,G,H,I,J,K,L
6.0,8219835,9392920,9392920,9392920,9392920,9092660,9862425,7745870,7883393,7883393,5916563,7297695
11.0,8489520,9681210,9681210,9681210,9681210,9371430,10164825,7976350,8124759,8124759,6092370,7521228
16.0,8742825,9968865,9968865,9968865,9968865,9649590,10467225,10405770,8366652,8366652,6268177,6018346
