,A,B,C,D,E,F,G,H,I
3.0,21948,20391,19904,19768,18737,20950,20882,20289,22354
6.0,22700,21173,21378,20146,19209,21266,19267,19873,24528
8.0,22696,21570,19416,20451,25051,21640,19393,20699,24931
