,A,B,C,D,E,F,G,H,J,K
4.0,14843,15681,15615,15026,17699,15450,15052,15689,16701,15117
10.0,15518,16026,16098,15278,17516,16421,15725,17327,17754,15590
17.0,16097,17390,15844,16861,16037,16810,16187,16878,18232,17260
