,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
7.0/F低層A,7.0,低層,A,,,,,,NTM
18.0/F中層A,18.0,中層,A,,,,,,NTM
27.0/F高層A,27.0,高層,A,,,,,,NTM
7.0/F低層B,7.0,低層,B,,,,,,NTM
18.0/F中層B,18.0,中層,B,,,,,,NTM
27.0/F高層B,27.0,高層,B,,,,,,NTM
7.0/F低層C,7.0,低層,C,,,,,,NTM
18.0/F中層C,18.0,中層,C,,,,,,NTM
27.0/F高層C,27.0,高層,C,,,,,,NTM
7.0/F低層D,7.0,低層,D,,,,,,NTM
18.0/F中層D,18.0,中層,D,,,,,,NTM
27.0/F高層D,27.0,高層,D,,,,,,NTM
7.0/F低層E,7.0,低層,E,,,,,,NTM
18.0/F中層E,18.0,中層,E,,,,,,NTM
27.0/F高層E,27.0,高層,E,,,,,,NTM
7.0/F低層F,7.0,低層,F,,,,,,NTM
18.0/F中層F,18.0,中層,F,,,,,,NTM
27.0/F高層F,27.0,高層,F,,,,,,NTM
7.0/F低層G,7.0,低層,G,,,,,,NTM
18.0/F中層G,18.0,中層,G,,,,,,NTM
27.0/F高層G,27.0,高層,G,,,,,,NTM
7.0/F低層H,7.0,低層,H,,,,,,NTM
18.0/F中層H,18.0,中層,H,,,,,,NTM
27.0/F高層H,27.0,高層,H,,,,,,NTM
7.0/F低層J,7.0,低層,J,,,,,,NTM
18.0/F中層J,18.0,中層,J,,,,,,NTM
27.0/F高層J,27.0,高層,J,,,,,,NTM
