,A,B,C,D,E,F,G
3.0,11123032,12632942,12790756,9118318,10371618,10371618,9106680
6.0,11726388,13317920,12254952,9613065,10933812,11981466,9639520
8.0,12128248,15143870,12675132,9942746,11308608,11308608,10026720
