,A,AB,B,C,D,E,F,G,H,J,K,L,M
4.0,4342140,6869080,4161200,4132400,4136400,4126800,4342140,4342140,4139600,4182400,4096800,4139600,4101340
10.0,4121980,7073260,4023200,3984400,3986400,4007600,4121980,4121980,3988000,3862800,3950000,3988000,4224750
17.0,4515000,7327240,3697525,3663400,3686150,3703375,4515000,4515000,3588000,3383250,3644550,3588000,4372670
