,A,B,C,D,E,F,G,H,J,K,L
15.0,655,677,607,795,478,461,455,477,625,677,500
31.0,657,675,606,794,477,461,455,477,624,678,498
48.0,655,673,605,791,477,461,454,475,625,677,500
