,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
6.0/F低層A,6.0,低層,A,9325435,15673,595,58,1,KTST
10.0/F中層A,10.0,中層,A,9655660,16228,595,62,1,KTST
15.0/F高層A,15.0,高層,A,10068590,16922,595,63,1,KTST
6.0/F低層B,6.0,低層,B,8299740,16274,510,101,1,KTST
10.0/F中層B,10.0,中層,B,8593500,16850,510,107,1,KTST
15.0/F高層B,15.0,高層,B,8960700,17570,510,108,1,KTST
6.0/F低層C,6.0,低層,C,7980948,16026,498,65,1,KTST
10.0/F中層C,10.0,中層,C,8318000,16636,500,70,1,KTST
15.0/F高層C,15.0,高層,C,8674000,17348,500,71,1,KTST
