,B,C,D,E,F,G,H,I,J,K,L,M,N,O,O1,P,Q
3.0,11012,10954,11001,10796,10962,10954,10946,10946,10213,10946,10954,9034,10233,10954,11294,10914,10922
6.0,11285,11223,11272,11062,11231,11223,11215,11215,10458,11215,11223,11231,10473,11223,11572,11183,11191
9.0,11560,11492,11542,11278,11501,11492,11484,11484,10692,11484,11492,11501,10714,11492,11850,11451,11459
