,A,AB1B2C-H,B1,B2,B2 & C,C,D,E,E-G,F,G,H
6.0,13715730,,7507155,15343020,15343020,13538020,8665920,11440890,18065985,9705190,7446000,8269480
9.0,14088420,,8122485,8069760,15733080,13894460,8894160,11742075,18524475,9960830,7642200,8487080
12.0,14459880,,8330820,8276480,16123140,14250900,9122400,12043260,18982965,10216470,7838400,8704680
