,A,B,C,D,E,F,G,H,I,J,K,M,N
3.0,4947360,5364650,5943675,5152700,5005835,5222380,5222380,5528160,5169480,5222380,5588154,5162859,5579637
6.0,5024580,5747975,5937025,5024580,5566069,5276040,5276040,5781150,5269760,5701950,5916309,5243238,5936850
9.0,5108400,5838700,6030600,5108400,5535479,5356680,5356680,5868900,5354400,5790150,6039054,5329935,5956919
