,subjFloor,floorLv,unitNo,price,npsf,nfa
7.0/F低層A,7.0,低層,A,15637392,14012,1116
14.0/F中層A,14.0,中層,A,16389576,14686,1116
21.0/F高層A,21.0,高層,A,17127252,15347,1116
7.0/F低層B,7.0,低層,B,9619129,15847,607
14.0/F中層B,14.0,中層,B,10095017,16631,607
21.0/F高層B,21.0,高層,B,10211245,17515,583
7.0/F低層C,7.0,低層,C,14953920,13472,1110
14.0/F中層C,14.0,中層,C,15672090,14119,1110
21.0/F高層C,21.0,高層,C,16383600,14760,1110
7.0/F低層D,7.0,低層,D,8600202,12251,702
14.0/F中層D,14.0,中層,D,11264120,16420,686
21.0/F高層D,21.0,高層,D,11811548,17218,686
