,1,10,11,12,13,14,15,16,1630,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,4,5,6,7,8,9
5.0,11064,10780,10749,10641,10894,10686,11172,10408,13603,10686,10339,10413,10739,12121,11136,11407,10569,10117,10686,11481,10153,10268,11214,11301,10592,10611,10480,10438,10874,10438,10685,12695,12486,10678
12.0,11721,11415,11324,11917,11873,11632,11708,12018,13869,11610,11204,11917,11851,11699,12070,12181,11963,10434,11612,11926,10767,12272,12803,11968,12879,12781,11975,11831,11455,11899,11288,13186,13985,12417
19.0,12154,13938,11855,14432,14063,14203,14165,13517,14333,14250,11628,12549,12197,12448,14203,14234,14446,14417,13568,12144,14203,11621,14070,12402,11938,13406,12613,12524,12176,12339,11556,13559,14100,12260
