,CHELSEA HSE 2,CHELSEA HSE 3,CHELSEA HSE 6,CHELSEA HSE 7,CHELSEA HSE 8,DEVON HSE 2,DEVON HSE 3,DEVON HSE 6,DEVON HSE 7,DEVON HSE 8,DEVON HSE 9,SOMERSET HSE 2,SOMERSET HSE 3,SOMERSET HSE 6,SOMERSET HSE 7,SOMERSET HSE 8,SOMERSET HSE 9,TREGUNTER HSE,TREGUNTER HSE 2,TREGUNTER HSE 3,TREGUNTER HSE 6,TREGUNTER HSE 7,TREGUNTER HSE 8
3.0,1611,1611,1611,1611,1611,1611,1611,1611,1611,1611,1669,1139,,,,,1126,1127,1139,,,,
6.0,1611,1611,1611,1611,1611,1611,1611,1611,1611,1611,1669,1139,,,,,1126,1127,1139,,,,
8.0,1611,1611,1611,1611,1611,1611,1611,1611,1611,1611,1669,1139,,,,,1126,1127,1139,,,,
