,B,C,D,E,F,G,H
2.0,2779200,2325478,2872750,2802000,2284370,2779200,3027904
3.0,2801760,2344684,2896250,2896250,2302990,2801760,3052698
4.0,2824560,2363696,3159250,2919750,2321800,2824560,3077492
