,A,A & B,B,C,D,E,F,G,H
19.0,27393,27383,28123,29003,26511,27283,27679,23223,25986
40.0,29283,27633,30187,31272,29685,28613,28037,25669,25732
61.0,31633,31265,30712,30627,30008,30662,29781,28313,27896
