,1,10,11,12,15,17,2,3,4,5,6,7,8,9,whole floor
2.0,2443350,,,,,,,,,,,,,,
3.0,2455440,,,,,,,,,,,,2687550,,
4.0,2467920,,2418900,,,,,,,,,,,,
