,A,B,C,D,E,F,G,H
9.0,14040,14367,14148,13894,14042,12942,13994,14225
23.0,14345,15062,14804,14213,14935,13719,15134,14860
38.0,15580,15454,15896,15499,15971,15445,15595,15800
