,A,B,C,D,E,F,G,H,J
10.0,25018,25285,25744,25296,23317,24918,25443,24205,23640
20.0,26077,25307,26649,27193,23923,23364,23378,24486,23695
30.0,35911,26375,31660,34294,26154,25979,26773,26508,25905
