,A,B,C,D,E,F,G,H,whole floor
7.0,4833725,4640080,4838170,4553575,4761900,4685960,4659610,4841200,4664570
14.0,5070975,5061060,4870720,4704050,4974450,4872890,4937370,5008575,4830730
20.0,5120375,4958450,4997510,4695600,5106075,4970540,5075940,5244850,4958450
