,C1,C2,C3,C4,D1,D4
3.0,16736475,16736475,13711655,15464640,13881795,16736475
6.0,17182710,17182710,14075465,15832975,14250130,17182710
9.0,17610840,17610840,14429320,16209455,14606700,17610840
