,A,B,C,D,E,F,G,H,J,K,L,M,N
14.0,13571151,11946473,8131335,13794756,11308024,8083635,6443684,7279776,10969134,7989210,5479029,5625810,5695991
36.0,9793672,13222356,9501235,14623746,10537800,6608172,6562439,8113040,9202512,7610238,5745505,5773914,7328344
57.0,9306495,17133822,9305020,15092148,9034032,8862444,6825585,10414074,7657364,8181306,6039611,8211000,6413817
