,A,B,C,D,E,F,G,H,J,K,L,M,N
6.0,13100,13293,13169,12885,13278,13548,13065,13147,13309,13502,13791,13742,14111
15.0,14040,14138,14499,13536,13916,14306,13752,13560,13925,14108,14625,14941,14956
22.0,14112,14639,13675,14162,14939,14917,15400,14916,14520,15109,15344,15440,15921
