,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,3,4,5,6,7,8,9
6.0,485,,,293,293,494,494,293,293,493,492,,,397,287,196,194,286,,,485,,286,194,196,287,397,395
16.0,485,492,493,293,293,,493,293,293,493,492,391,,397,287,196,194,286,393,391,485,,286,194,196,287,397,395
27.0,485,,493,293,293,493,493,293,293,493,492,,395,397,291,193,192,288,,,,393,288,192,193,291,397,395
