,B,C,D,E,F,G,H
4.0,7228622,6407604,6407604,4028045,3736518,4028045,4028045
8.0,7459486,6079217,6079217,4161177,3859224,4161177,4161177
11.0,7633248,6223123,6223123,4261026,3941429,4261026,4261026
