,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
4.0/F低層A,4.0,低層,A,,,,,,NTM
9.0/F中層A,9.0,中層,A,,,,,,NTM
14.0/F高層A,14.0,高層,A,,,,,,NTM
4.0/F低層B,4.0,低層,B,,,,,,NTM
9.0/F中層B,9.0,中層,B,,,,,,NTM
14.0/F高層B,14.0,高層,B,,,,,,NTM
4.0/F低層C,4.0,低層,C,,,,,,NTM
9.0/F中層C,9.0,中層,C,,,,,,NTM
14.0/F高層C,14.0,高層,C,,,,,,NTM
4.0/F低層D,4.0,低層,D,,,,,,NTM
9.0/F中層D,9.0,中層,D,,,,,,NTM
14.0/F高層D,14.0,高層,D,,,,,,NTM
4.0/F低層F,4.0,低層,F,,,,,,NTM
9.0/F中層F,9.0,中層,F,,,,,,NTM
14.0/F高層F,14.0,高層,F,,,,,,NTM
4.0/F低層G,4.0,低層,G,,,,,,NTM
9.0/F中層G,9.0,中層,G,,,,,,NTM
14.0/F高層G,14.0,高層,G,,,,,,NTM
4.0/F低層H,4.0,低層,H,,,,,,NTM
9.0/F中層H,9.0,中層,H,,,,,,NTM
14.0/F高層H,14.0,高層,H,,,,,,NTM
