,6,AW02,AW10,AW11,BW04,BW12,CW04,CW08
10.0,4283,4247,4255,4247,4283,4247,4283,4255
20.0,4450,4413,4421,4413,4450,4413,4450,4421
30.0,4617,4579,4587,4579,4617,4579,4617,4587
