,A,B,C,E,F,G,H
6.0,5068185,4825440,5366100,5366100,5988470,4038048,4038048
9.0,5166060,4947255,5469795,5469795,6104010,4116000,4116000
12.0,5263935,5006016,5573025,5573025,6219550,4193952,4193952
