,G,H,J,L,M,N,P,Q,R
3.0,6771629,4757260,4705082,4970364,3619513,3747738,3993164,4935071,5527548
8.0,6909007,4942330,4919061,5184150,3754651,4007756,4165000,5154171,5745168
12.0,7037165,5091750,5199045,5273709,3863921,4128399,4245920,5307854,5824404
