,AA,BB,CC,DD,EE,FF,GG,HH,II,JJ,KK,LL,M-M,MM,NN,OO,PP,QQ,QQ & RR,RR,SS,TT,UU,VV,WW,XX,YY,ZZ
3.0,4402580,3521453,3432507,3546022,3619056,4349135,3559372,3707112,3682212,2995304,3682212,3471724,2649600,3662292,3601000,3822368,3744975,3373915,6671196,3754193,3385686,3659040,3613951,3659040,3659040,3659040,3659040,3659040
8.0,3890080,2961031,3591117,3733555,3877104,3836211,3718400,3856180,3237996,3130096,3172592,3197160,2112975,3831280,3102125,3383072,2871530,3309240,5873280,3431296,3629228,3152490,3041665,3162374,3102330,3179220,3001320,3152490
12.0,4023330,3062417,3161636,3875993,3957440,3968015,3850536,3917340,3072246,3237664,3104010,3097224,2187000,3968728,2896978,3335963,3423090,3423090,6071632,2706722,3271383,3145659,3145659,2750108,3208590,3304042,3104010,3260400
