,A,B,C,D,E,F,G,GH,H
5.0,9150184,6817162,6750986,8846992,8755488,6760809,6637246,14057048,9820827
14.0,9830590,7245238,7145974,9374000,9284560,7174409,7169239,14909144,10428386
23.0,10468940,7658838,7753966,9890688,10120480,7431875,7584390,15744756,11010411
