,A,B,D,E,F,G,H,I,J,K,L,M,N
2.0,3265980,3279996,3288960,3288960,3193001,2724607,3195170,2678313,3088624,2781856,2728572,2755676,2800695
4.0,3302520,3316870,3326400,3326400,3236277,2751563,3231316,2705182,3123078,2806804,2753212,2780316,2825738
7.0,3354024,3368780,3390120,3378240,3286184,2850011,3281443,2741469,2887696,2844380,2780316,2817276,2863144
