,A,B,C,D,E,F,G,H,J,K,L,M
5.0,7931132,6621120,5961870,5497856,6655968,7935648,8116752,7853572,5960526,5956665,7875840,7873415
12.0,8149757,6818592,6047922,5664944,6803588,8248464,8340780,8151260,6149286,6137274,8109068,8184154
20.0,8331070,7056720,6258792,5850440,7006868,8528352,8594208,8423750,6352203,6310161,8365150,8462245
