,A,B,C,D,E,F,G
6.0,13083972,9162827,8862414,12766336,8891130,6881160,6932205
17.0,13669128,9120105,9142111,12947264,9369640,7101710,7177527
27.0,13745368,9522093,9105336,13407690,9463404,7309566,7372050
