,A,A & B,A-B,AB,B,C,C & D,C-D,CD,D,E,E & F,E&F,E-F,EF,F,G,G & H,G H,GH,H
7.0,9369,3817,3817,3817,9334,10969,5129,5129,5129,9763,11014,7059,7059,7059,7059,11262,10197,5104,5129,5129,9538
20.0,9482,4047,4047,4047,8987,9833,5771,5771,5771,10761,11174,7100,7100,7100,7100,10244,9846,5750,5771,5771,10046
32.0,9968,4259,4259,4259,10763,10658,5975,5975,5975,11054,11528,7367,7367,7367,7367,11198,9872,5922,5975,5975,10371
