,B,C,D,E,F,G,H
6.0,5379873,5199027,5271550,5381693,5363325,5379873,5364612
14.0,5557764,5369235,5495959,5560160,5496300,5557764,5763365
23.0,5524668,5554218,5688562,5761009,5689557,5757522,5740983
