,A,AB,B,C,D,E,F,G,GH,H
5.0,8445000,20150640,7625340,7201440,8032800,8383200,7423380,7625340,20150640,8802600
10.0,8683800,20745720,7679880,7259760,8135400,8728200,7624260,7679880,20745720,9073800
16.0,8798400,21474180,7916400,7516800,8461200,9011400,7862400,7916400,21474180,9399000
