,A,B,BC,C,CD,D,E,F,G,H
10.0,13304,10277,9045,10734,9064,11063,13607,13085,13565,12476
24.0,13809,11309,9472,11595,9491,11603,13480,14178,14539,14598
37.0,12929,11236,9896,13209,10495,12172,12981,14589,13122,12881
