,A,B,C,D,E,F,G,GH,H
6.0,10311,10341,10179,10472,10334,10271,9769,9947,20585
14.0,10889,10811,10573,10882,10640,10562,10113,10194,21194
21.0,11236,10741,10895,11117,10961,10852,10422,10227,20233
