,A1,A2,A3,B1,B2,B3,B4
2.0,2196915,2196000,2040816,2191120,2215825,2040816,2050064
3.0,2207895,2183800,2050608,2202100,2225280,2050608,2050880
4.0,2219485,2218570,2064480,2213690,2239920,2064480,2082976
