,11,16,18,20,27,5,8,9
7.0,1938924,1948752,1951209,1989918,2092448,1969461,2107728,2091492
12.0,2025621,2038257,2041416,2082381,2157216,2056509,2173041,2156067
18.0,2096172,2109159,2113020,2155209,2232656,2127762,2249793,2231343
