,A,B,B OF FI,B1,C,C1,D,D1,E,F,F1,F1A,F1B,G,G1,H,H1,I,J,K,L,L1
2.0,3508766,3132720,,2998020,3486144,3027640,3938780,2963961,3294369,3498600,3524500,,,3441230,3446380,3888240,3385170,4082162,5159550,3491280,3550260,3340260
4.0,3546710,3166154,,3029775,3520984,3059760,4000546,2995707,3329482,3572912,3562660,,,3478238,3483460,3932610,4495944,4126108,5212020,3526380,3588780,3375900
7.0,3600991,3213786,,,3570832,3105960,3648552,2588850,3379987,3563040,3616720,,,3531180,3536505,3994830,4564336,4188716,5202840,3577860,3643350,3427380
