,B,C,D,E,F,G,H,J
6.0,5554224,6325920,6019475,5974668,5431986,5810553,5038496,5275296
17.0,5941998,6800778,6524987,6625143,5985000,6424731,5430960,5504304
27.0,6254307,7160130,6813261,6982353,6421506,6816303,5715200,5800080
