,1,2,3,4,5,6,7,8,D1,D4,D5,D6,D8
4.0,5082486,5082486,6069230,6069230,5528324,5528324,6069230,6069230,5071188,6105255,5535942,5510744,6105255
9.0,5186320,5186320,6208745,6208745,5560554,5560554,6208745,6208745,5131982,6285380,5584580,5552350,6288655
14.0,5288540,5288540,6326645,6326645,5670136,5670136,6326645,6326645,5236354,6365945,5687716,5661932,6407210
