,1,10,2,3,4,5,6,7,8,9,E6,E8
4.0,460,364,460,323,323,288,300,300,288,364,300,288
7.0,460,364,460,323,323,288,300,300,288,364,300,288
10.0,460,364,460,323,323,330,300,300,288,364,300,288
