,A,B,C,D,E,F,G,H,J
4.0,10747160,5694474,7786800,7292775,9194240,8955585,8264608,7809172,5799906
10.0,11392590,6204062,8309175,7553175,9313280,9511515,8596918,8283916,6006950
16.0,12033280,6184580,8326500,7763175,9295360,9768393,9096549,8587312,6145234
