,A,B,C,D,E,F,G,H,I,J,K,L,M
3.0,891,658,846,823,823,853,667,516,539,539,479,479,474
6.0,891,940,846,823,823,823,667,505,539,539,479,479,474
8.0,891,940,846,823,808,808,652,505,539,539,479,479,474
